Year,N_y_MM,N_m_MM,N_o_MM,psi_y_MM,psi_o_MM,n_m_MM,psi_y_MM_s,psi_o_MM_s,n_m_MM_s,gamma_MM_path,phi_MM_path
2057,46719.4325,463262.7235,324005.677,0.100848676420649,0.699399413257562,-0.0107624847119356,0.100761199499136,0.698061321929213,-0.0103187450633724,0.965479789155045,0.0195689983949448
2058,46491.3255,458431.324,324529.473,0.101413937194222,0.707912954482142,-0.010429070276793,0.10133468275959,0.706205995581031,-0.0102320581767699,0.96550264794331,0.0196888607909606
2059,46278.017,453808.6575,324801.7615,0.101976937273393,0.715724030672553,-0.0100836619532568,0.10189657273483,0.714053340413478,-0.0101097180764071,0.965489484253672,0.0197986809038569
2060,46070.497,449348.769,324882.513,0.102527257618903,0.723007461938769,-0.00982768492026853,0.102433218671752,0.721573628560539,-0.00996327988765451,0.965452228177304,0.0198953896564675
2061,45856.417,445020.9665,324817.654,0.103043273130818,0.729892922921419,-0.00963127708045419,0.102931802732294,0.728753670124744,-0.00980422666961991,0.965402249173355,0.019976061069392
2062,45632.2625,440772.2995,324661.831,0.103527972496829,0.736574942137442,-0.00954711647276962,0.103380463291737,0.735594661196113,-0.00964279335753605,0.965348790302314,0.0200381446611739
2063,45393.493,436593.424,324428.8325,0.103972003481207,0.743091431674885,-0.00948080336432311,0.1037684960145,0.742109533766194,-0.00948766089638512,0.965298808731481,0.0200796050791971
2064,45130.5065,432507.164,324102.7055,0.104346263499117,0.749358004853765,-0.0093594171954362,0.104086720158747,0.748321392005774,-0.00934656323677167,0.965257992521151,0.0200990702350745
2065,44843.1075,428448.293,323747.1155,0.104663989173601,0.755627040157212,-0.009384517385705,0.104328010676937,0.754263347636863,-0.00922704871809767,0.965231958752248,0.0200959949127613
2066,44526.1185,424520.788,323255.012,0.104885602209897,0.761458616721497,-0.0091668121081766,0.104487898513661,0.759979441744803,-0.00913700579250955,0.965227208062485,0.0200707834381452
2067,44170.1745,420873.2205,322472.23,0.104948883294417,0.766198024233761,-0.00859219996548199,0.104565283571461,0.765527133862593,-0.00908545512586542,0.965252388612086,0.0200249415689203
2068,43775.8055,417340.3185,321556.0955,0.104892346987558,0.770488930127176,-0.00839421903774951,0.104562955303391,0.770977269521204,-0.00908105280282797,0.965316513992492,0.0199611867278926
2069,43342.478,413786.4945,320639.38,0.104745994797082,0.774890877933185,-0.00851541018795665,0.104487510391921,0.77640688010526,-0.00912802721767105,0.965423815197448,0.0198833813104435
2070,42870.2495,410213.8925,319717.926,0.104507063958103,0.779393218624355,-0.00863392606449598,0.104348844595048,0.781888285771476,-0.00922411988377559,0.965571111871347,0.0197963100292335
2071,42367.0245,406516.4145,318888.34,0.104219714109478,0.784441485326541,-0.00901353676119099,0.104159415200517,0.787478575337796,-0.00936079706923089,0.965748127883308,0.0197053243759363
2072,41843.6675,402595.356,318236.0905,0.103934799237972,0.790461404378445,-0.00964551088256238,0.103933281618571,0.793210370684839,-0.00952393471785881,0.965938516575664,0.0196158956690096
2073,41306.666,398521.763,317685.3365,0.103649712098659,0.797159317244112,-0.0101183308234682,0.103685178230194,0.799087013569489,-0.009696281401618,0.966123073201756,0.0195331922700406
2074,40764.824,394440.668,317087.8645,0.103348430593369,0.803892423435405,-0.0102405825199563,0.103429891442051,0.805084975964854,-0.00986153029477793,0.96628476370222,0.0194617718500545
2075,40226.2905,390415.7885,316377.7375,0.103034487038938,0.810361022323256,-0.0102040175532815,0.103181834247077,0.811161113170412,-0.0100070594639941,0.966411992403149,0.0194053743425217
2076,39700.342,386430.155,315570.029,0.102736138694973,0.816628891189923,-0.0102086893445397,0.102954563313739,0.817259657594578,-0.0101238416163459,0.966498316465719,0.0193668002234083
2077,39196.8535,382460.049,314687.8145,0.10248613836265,0.822799179477174,-0.0102737996728022,0.10276013821572,0.823316384268121,-0.0102049567523649,0.96654039977709,0.0193478247983711
2078,38719.435,378526.5505,313719.0455,0.102289878870729,0.828790067924179,-0.0102847304189935,0.102608438315368,0.829260602967168,-0.010244503714203,0.96653638242292,0.0193491552153609
2079,38273.2895,374601.401,312695.7745,0.102170705709667,0.834742672251778,-0.0103695487009173,0.102506593844595,0.83501628656446,-0.0102372554957203,0.966485093622063,0.0193704570011173
2080,37863.9975,370633.625,311674.8355,0.102160179071718,0.840924337342571,-0.0105919945558346,0.102458563106416,0.840502908001297,-0.0101785945906842,0.966385665324585,0.0194104038545357
2081,37490.622,366651.4195,310642.3475,0.102251402847767,0.847241633275608,-0.0107443179231241,0.102465003905497,0.845638015028824,-0.0100655580374591,0.966238413667233,0.0194667859767449
2082,37149.6625,362812.6795,309452.4725,0.10239350661944,0.85292628947385,-0.010469726273622,0.102523639660424,0.85034423237007,-0.00989933212180242,0.966047384196812,0.0195367209766918
2083,36839.832,359223.6095,308009.1525,0.102554038837472,0.857430147558272,-0.00989234997229504,0.102630033989603,0.854560039898624,-0.00968733012216467,0.965822549761817,0.0196169112415579
2084,36559.81,355823.73,306387.232,0.102746969686367,0.86106464006771,-0.00946452129004582,0.10277838665896,0.858248836603094,-0.00944229419972876,0.965578730652089,0.0197038957030706
2085,36304.7005,352672.6395,304541.0255,0.102941641720409,0.863523254686731,-0.00885576265529053,0.102962113712835,0.861402436103748,-0.0091793447995878,0.965332303170594,0.0197942796426021
2086,36070.8955,349629.8175,302620.101,0.103168819404255,0.865544315310006,-0.00862789357380789,0.103174257230861,0.864040015893081,-0.00891355244438894,0.965098675199521,0.0198849171078546
2087,35856.28,346615.81,300710.695,0.103446752760643,0.867561970124791,-0.00862056766654351,0.10340765938902,0.866202307970679,-0.00865736516459507,0.964889661299352,0.019973015736185
2088,35657.693,343809.0915,298643.003,0.103713641906412,0.868630325326926,-0.0080974912829278,0.103655157094059,0.867946033693713,-0.00842070066217636,0.964713799840558,0.0200561805328628
2089,35470.2885,341150.615,296486.81,0.103972518120772,0.869078925740761,-0.00773242059539891,0.103909939812439,0.869340754890173,-0.00821220381377969,0.964577887250104,0.0201324845331746
2090,35290.1915,338512.546,294374.0505,0.104250763869768,0.869610458987242,-0.00773285723081585,0.104165762012188,0.870462489616226,-0.00803747333740981,0.964485060487757,0.0202005806273926
2091,35110.734,335897.9415,292303.376,0.104527982050762,0.870214847684621,-0.00772380383207438,0.104417041124132,0.871385210379903,-0.00789782014238567,0.964433478441687,0.0202597645037836
2092,34928.0625,333310.153,290272.837,0.104791474803949,0.870879072801602,-0.00770409157151686,0.104659059102105,0.87217474101186,-0.00779140317850588,0.964417648993769,0.020309985277052
2093,34740.139,330746.799,288282.7605,0.105035450395999,0.871611641810629,-0.00769059681179274,0.104888210999714,0.872885408457868,-0.007714549757598,0.96443000581027,0.0203517983952871
2094,34544.227,328205.8725,286331.592,0.105251702953609,0.872414590936364,-0.00768239181054009,0.105102218205802,0.873558699929387,-0.00766266595296418,0.964462119843256,0.0203862862170039
2095,34339.585,325688.965,284413.604,0.10543674698957,0.873267548380093,-0.00766868514822228,0.105300268200179,0.874223417715662,-0.00763088275788531,0.964505672462518,0.0204149596345285
2096,34126.781,323192.94,282522.2615,0.105592594318428,0.874159755779319,-0.00766383042790519,0.105483032733999,0.874896906072349,-0.00761448731526324,0.964553222427127,0.0204396189591273
2097,33904.8825,320714.0375,280655.8715,0.105716864669511,0.875096935848965,-0.00767003914132536,0.105652538712437,0.875586905321383,-0.0076091376072785,0.964598729535196,0.0204621878196167
2098,33672.5675,318247.5875,278815.156,0.10580619876655,0.876095112582746,-0.0076904959297267,0.105811888884245,0.876293757737597,-0.00761099006118734,0.964637878346018,0.020484524679642
2099,33428.1065,315790.8535,276996.5595,0.105855208057823,0.877151939107698,-0.00771956833765475,0.105964794037392,0.877012930724882,-0.00761682813306312,0.964668373472779,0.0205081673056578
2100,33167.2955,313339.199,275204.2145,0.10585108918977,0.878294881005297,-0.00776353866119817,0.106114850447232,0.877737963165737,-0.0076242461631758,0.964690306411457,0.0205339694759402
