Year,N_y_B,N_m_B,N_o_B,psi_y_B,psi_o_B,n_m_B,psi_y_B_s,psi_o_B_s,n_m_B_s,gamma_B_path,phi_B_path
2056,NaN,NaN,NaN,0.0920690344311584,0.759839102701274,-0.0147247647465125,0.091110938787618,0.759140019993265,-0.0139256306326327,0.967123932194133,0.0175400459786759
2057,NaN,NaN,NaN,0.0923032215347709,0.774642171509777,-0.0144536438400994,0.0918759344525281,0.769796722803595,-0.0138198018808267,0.967092058474868,0.0177174762106839
2058,NaN,NaN,NaN,0.0926552170182829,0.788862617516766,-0.0140278317733624,0.0926553700585584,0.77995510622686,-0.0136509195759334,0.966889023751821,0.0178897914915882
2059,NaN,NaN,NaN,0.0932315153547552,0.795333351590705,-0.0134384271873203,0.09343647431062,0.789483722164099,-0.0134291082764722,0.966570580483345,0.0180574097332841
2060,NaN,NaN,NaN,0.094277293310896,0.800237397422817,-0.0130666556496679,0.0942068491728246,0.798329110939399,-0.0131681134326455,0.966222103425978,0.0182171432482887
2061,NaN,NaN,NaN,0.0951190903609788,0.810665546755116,-0.0127683026874999,0.0949528347494765,0.806495412734559,-0.0128822069762349,0.965899854253045,0.0183641533409939
2062,NaN,NaN,NaN,0.0958305121746574,0.814256085920535,-0.0125694248564014,0.0956611803590349,0.814016486434039,-0.0125848015519681,0.965625145779413,0.0184950355884082
2063,NaN,NaN,NaN,0.0963024239595461,0.81724544529372,-0.0125526311704185,0.0963201585495878,0.820957888602521,-0.0122883460812844,0.965422306606922,0.0186075988194984
2064,NaN,NaN,NaN,0.0966824248945581,0.819766710257224,-0.0124395605179956,0.0969194321861997,0.827387559792325,-0.0120054391051821,0.965280216961936,0.0186997450053093
2065,NaN,NaN,NaN,0.0972584978391832,0.830527025025713,-0.0115134125268479,0.0974484307773088,0.833336014590651,-0.0117511638196659,0.965138207742455,0.0187677525543154
2066,NaN,NaN,NaN,0.0979107744941646,0.843366399607057,-0.0113161168149049,0.0978946382140215,0.838771469889384,-0.0115435714669486,0.964903757192422,0.0188058398397199
2067,NaN,NaN,NaN,0.0983451493918049,0.852355686578278,-0.0111338671504564,0.0982438875410408,0.843638132684659,-0.0113994601942756,0.964531034274973,0.0188082496844686
2068,NaN,NaN,NaN,0.0988980957970569,0.857588040145617,-0.0107462290070603,0.0984819711869635,0.847921099338266,-0.011333249086696,0.964052437655288,0.0187707404441202
2069,NaN,NaN,NaN,0.0995007190048956,0.8573814836844,-0.0104951754002704,0.0985960911903081,0.851688180161658,-0.0113561975543311,0.963552200282159,0.0186908375510953
2070,NaN,NaN,NaN,0.0993871085035111,0.856660014692283,-0.0105185638689088,0.0985779451924645,0.855096543413501,-0.0114737153515507,0.963128793123068,0.0185700169571389
2071,NaN,NaN,NaN,0.0995401204784826,0.856420507325618,-0.0103779641684472,0.0984273853788959,0.858360602514378,-0.0116828178553197,0.962853303855398,0.0184151200095673
2072,NaN,NaN,NaN,0.0990082334085037,0.856687609345195,-0.0110068400136476,0.0981531090801131,0.861711617843539,-0.0119704421904625,0.962761508760475,0.0182362646589388
2073,NaN,NaN,NaN,0.0982791420541432,0.857656616260972,-0.0125809161491756,0.0977741086233238,0.865361959345933,-0.0123115083632731,0.962860464180068,0.0180478746032057
2074,NaN,NaN,NaN,0.097503987563438,0.859517336764029,-0.0134436126325167,0.0973178582647656,0.869473927147879,-0.0126727043015806,0.963129164819252,0.0178652909250541
2075,NaN,NaN,NaN,0.0967132847341363,0.867317481975726,-0.0136976135965087,0.0968169861114346,0.874132713680035,-0.0130222077266447,0.963513165541253,0.0177019285950113
2076,NaN,NaN,NaN,0.0961493237361868,0.877137798234109,-0.0138222088384568,0.096306049309465,0.879332018214263,-0.0133349782569968,0.963933887479607,0.0175682213467583
2077,NaN,NaN,NaN,0.0954201003633216,0.88397034825976,-0.0136242646867808,0.0958189561804393,0.884999190296532,-0.0135926417778214,0.964333944135476,0.0174716839859819
2078,NaN,NaN,NaN,0.0945033724088261,0.889724654704203,-0.0138948967612604,0.0953877135989914,0.891033598069337,-0.013781295472459,0.964694668807994,0.0174179823890899
2079,NaN,NaN,NaN,0.0942238965803114,0.895269790250113,-0.0145709913901406,0.0950398899043476,0.897321783864584,-0.0138882609745969,0.965013605115674,0.0174097802311659
2080,NaN,NaN,NaN,0.0938600253145435,0.901916171019478,-0.0147991983728228,0.0947950530756305,0.903736288988736,-0.0139028275247909,0.965285603013674,0.0174452218790385
2081,NaN,NaN,NaN,0.0937849905062941,0.910383496041034,-0.0145539419671373,0.0946642132767311,0.910130568829413,-0.0138205821646048,0.965494077369359,0.017519856278588
2082,NaN,NaN,NaN,0.0940904934112612,0.918984022191463,-0.0141531725432006,0.0946492302891521,0.916342793356257,-0.0136455320931958,0.965618383185927,0.0176263205582603
2083,NaN,NaN,NaN,0.0944473274930707,0.925897326186945,-0.0136319101966837,0.0947435284470547,0.922214218093981,-0.0133889866149535,0.965650311965493,0.0177556243815019
2084,NaN,NaN,NaN,0.0948855899571822,0.931097332124435,-0.0128417048800223,0.094934790718883,0.927610510942122,-0.0130673170631971,0.965599003802974,0.0178994249505873
2085,NaN,NaN,NaN,0.0951082994972877,0.935547643251552,-0.0126847661231959,0.0952076819898227,0.932432458457436,-0.0126990054153433,0.965482261200816,0.0180508065455452
2086,NaN,NaN,NaN,0.0957943500661023,0.941092685917156,-0.0127376734948509,0.0955458698614005,0.936615772411526,-0.0123013993652344,0.9653182700572,0.0182043763666786
2087,NaN,NaN,NaN,0.0962476289524759,0.94484910610994,-0.0120143233080526,0.0959326881800472,0.940130549212126,-0.0118921053689649,0.965124060779897,0.0183551506547616
2088,NaN,NaN,NaN,0.0964923233557757,0.94571414041538,-0.0106107970467223,0.0963535069522923,0.942990220949992,-0.0114918495377901,0.964922924774081,0.0185000764039203
2089,NaN,NaN,NaN,0.097013529405759,0.946198418377471,-0.0103417916781196,0.0967964690124394,0.945252117124236,-0.0111214322142698,0.96473912408312,0.0186371480819031
2090,NaN,NaN,NaN,0.0973045474712157,0.94652206611167,-0.0102508174685125,0.0972515476102463,0.947001446924224,-0.0107946139555069,0.964588087528753,0.0187645794872666
2091,NaN,NaN,NaN,0.0978912108400303,0.946739055506213,-0.0101577457807941,0.0977105006046252,0.948333570622938,-0.0105175064783304,0.964475259374526,0.0188815916933181
2092,NaN,NaN,NaN,0.0982278677901254,0.94688187884181,-0.0101577720089866,0.0981661124034321,0.949339529070605,-0.0102906413864692,0.964397174954147,0.0189875196606843
2093,NaN,NaN,NaN,0.09865894286334,0.94880172198265,-0.00988740713883174,0.0986125775091176,0.950094681145221,-0.0101109884845699,0.964342320877721,0.0190826169507434
2094,NaN,NaN,NaN,0.0992434577821891,0.95093465374247,-0.00978844169880777,0.0990448885674596,0.950652974823776,-0.00997364077668485,0.964294950525632,0.0191669884208269
2095,NaN,NaN,NaN,0.0997699323112442,0.950974542168632,-0.00983930209891451,0.0994587887057485,0.951055988036193,-0.00987165019979831,0.96425038397613,0.019241055480382
2096,NaN,NaN,NaN,0.100170702491635,0.950500902048123,-0.00993483426968031,0.0998519600846393,0.951344881726947,-0.00979639070140281,0.964217824302129,0.0193067403067505
2097,NaN,NaN,NaN,0.100456606530803,0.950668484055372,-0.00998159522585884,0.100225051002908,0.951559321749214,-0.00973893968368259,0.96420568452959,0.0193673972086849
2098,NaN,NaN,NaN,0.100604735065958,0.950769986806308,-0.00996863210327786,0.100581769807749,0.951731653750319,-0.00969166088167438,0.964215023005815,0.0194269246015676
2099,NaN,NaN,NaN,0.100701821568795,0.950871166514106,-0.00972081227214031,0.100927959408273,0.951885184661428,-0.00964925142596811,0.964242600915667,0.0194886643058333
2100,NaN,NaN,NaN,0.10085958601698,0.951690032744889,-0.00979097384077018,0.101269626482479,0.952033538714016,-0.00960880255704387,0.964281881054076,0.0195541791099654
