Year,N_y_C,N_m_C,N_o_C,psi_y_C,psi_o_C,n_m_C,psi_y_C_s,psi_o_C_s,n_m_C_s,gamma_C_path,phi_C_path
2025,NaN,NaN,NaN,0.100639192111109,0.384624511660259,-0.0048350737346079,0.103622218588311,0.392069749751822,-0.00195127404786438,0.955231874120114,0.0203740044946205
2026,NaN,NaN,NaN,0.099869822133701,0.39618077471656,-0.00528365778024387,0.1037199249571,0.40124142785945,-0.00284498903401804,0.956717269400745,0.0205270680373386
2027,NaN,NaN,NaN,0.101898895934013,0.401615752411436,-0.00492817365882792,0.104061078883273,0.410907060181776,-0.00361968170016657,0.958075813522985,0.0207084709346599
2028,NaN,NaN,NaN,0.10678429013854,0.416446488351358,-0.00619287986625028,0.104571528121946,0.420924379376966,-0.00424677408639497,0.959187239216428,0.0208785733595249
2029,NaN,NaN,NaN,0.10723466958351,0.433508555923754,-0.00661682565472299,0.10515980380769,0.431072492218929,-0.00471388140174569,0.959888491640937,0.0210068704667522
2030,NaN,NaN,NaN,0.106284735718769,0.449895189647412,-0.00622977605492647,0.105749190830785,0.441088810518326,-0.0050271304029566,0.960096983730458,0.0210897328123195
2031,NaN,NaN,NaN,0.107354227754652,0.458874521930204,-0.00569017365343505,0.106281573020921,0.450734437572221,-0.00521076321451594,0.959865127042968,0.0211284122452148
2032,NaN,NaN,NaN,0.109001202173468,0.467917873216408,-0.00470347553783756,0.106707739426746,0.459847583857105,-0.00530113128296545,0.959345094140137,0.0211168092743996
2033,NaN,NaN,NaN,0.110014501900664,0.475417974620931,-0.00412357825394871,0.106990465000224,0.468349687132163,-0.00533883290949757,0.958685577320201,0.0210530692432814
2034,NaN,NaN,NaN,0.107405333934829,0.481103160561123,-0.00375771607321662,0.107114865674162,0.476242133859077,-0.00535920298251495,0.958023177814752,0.02094844336639
2035,NaN,NaN,NaN,0.106132850532802,0.48600004308735,-0.00443874186831561,0.107090771318419,0.483595678287435,-0.00538569059702525,0.95747761311067,0.0208221210189723
2036,NaN,NaN,NaN,0.105997542957751,0.491526090313722,-0.00548510323130891,0.106933446128038,0.490529756079449,-0.00542732035136701,0.957137366467972,0.0206804670048896
2037,NaN,NaN,NaN,0.105862622510634,0.497611469994863,-0.00665467328805269,0.106650617062279,0.49718985478308,-0.00548414125643063,0.95705345000956,0.020518973110794
2038,NaN,NaN,NaN,0.107068475384001,0.503399890152971,-0.00663734752085909,0.106240769450746,0.503732928809837,-0.00555696783627603,0.957247410718013,0.0203298992621838
2039,NaN,NaN,NaN,0.105856377380662,0.509176801371943,-0.00583780483097207,0.105696900112193,0.51031988839013,-0.00565641308413989,0.957716441996718,0.0201064192228484
2040,NaN,NaN,NaN,0.10570622888349,0.514525688694603,-0.00497304821075861,0.105016521532798,0.517108186470807,-0.00580264124328716,0.958433336242691,0.0198496282439708
2041,NaN,NaN,NaN,0.105789600737943,0.519839439534275,-0.00503026893687109,0.104200774687557,0.524242670132545,-0.0060174602499784,0.959350622718649,0.0195605334416196
2042,NaN,NaN,NaN,0.105315205578456,0.523196343253503,-0.00517664339470802,0.103258388316992,0.531841458663563,-0.00631573499048021,0.960399672972817,0.0192456159507917
2043,NaN,NaN,NaN,0.104354715655844,0.538339209936285,-0.00577742209537657,0.102213414105753,0.539974118261876,-0.00670236831422299,0.96148016389338,0.0189216315041687
2044,NaN,NaN,NaN,0.0999801163687706,0.551750564693572,-0.00638275302221847,0.101110034035877,0.54864183364307,-0.0071713733334064,0.962467089905305,0.01861420494945
2045,NaN,NaN,NaN,0.0999509334534815,0.557108019263083,-0.00751882306710294,0.100008410065486,0.557825459526666,-0.00770728925992311,0.963335467592849,0.0183495890919841
2046,NaN,NaN,NaN,0.0976684788397407,0.559372085763646,-0.00850984127237142,0.0989646034023118,0.567522824665205,-0.00828747029951024,0.964135800771546,0.0181377091385239
2047,NaN,NaN,NaN,0.0956599859777352,0.573248278260094,-0.00912436019862128,0.0980302039600195,0.577718438334954,-0.00888704824357895,0.964867319698197,0.0179873220862495
2048,NaN,NaN,NaN,0.0959446179032572,0.586424662304465,-0.00994979621638259,0.097243986512803,0.588333189347628,-0.00948273456309201,0.965442930099123,0.0178976844328296
2049,NaN,NaN,NaN,0.0958524644631341,0.601305823974928,-0.010171543097143,0.0966243952538783,0.599240929635744,-0.0100539994503023,0.965806743435046,0.0178577444268676
2050,NaN,NaN,NaN,0.0957276014081748,0.614739417590574,-0.010649035835803,0.0961758346067455,0.61029860982894,-0.0105840556937844,0.965954004017259,0.0178583880137688
2051,NaN,NaN,NaN,0.0958191969621068,0.625905111755519,-0.0113072313368019,0.0958945687171755,0.621381348668095,-0.0110578033150802,0.965937373011708,0.0178935177519202
2052,NaN,NaN,NaN,0.0962037930519251,0.634276600274291,-0.0113611557889383,0.0957724168902995,0.632405261339327,-0.0114611977098675,0.96584350478618,0.0179590953114275
2053,NaN,NaN,NaN,0.0956700248140221,0.642966020618717,-0.0121204525810102,0.0958006624984923,0.643327552589439,-0.0117818148972381,0.965754119681225,0.0180540233136627
2054,NaN,NaN,NaN,0.0954427287901328,0.652215931971933,-0.0125262239018493,0.0959731469868677,0.654125035897314,-0.0120075472229199,0.965714271273514,0.0181802148934968
