Year,N_y_A,N_m_A,N_o_A,psi_y_A,psi_o_A,n_m_A,psi_y_A_s,psi_o_A_s,n_m_A_s,gamma_A_path,phi_A_path
2005,NaN,NaN,NaN,0.140355346394574,0.231905050272549,0.0129119966629894,0.140332423021259,0.233981141650988,0.0124866719656458,0.909589636434861,0.0286735212362341
2006,NaN,NaN,NaN,0.136347914999018,0.23530315390614,0.0124256334898755,0.139057285904621,0.235297920531814,0.012236647125427,0.911087007484939,0.028492942425448
2007,NaN,NaN,NaN,0.13775893093343,0.238703074290409,0.0119619404863336,0.137906811251082,0.236947188756539,0.0119599901572628,0.912804814918957,0.0283103466325677
2008,NaN,NaN,NaN,0.138677982112285,0.241298734526938,0.0129614920217254,0.136830782977695,0.238960033220151,0.0116641356849611,0.914749386174909,0.0281013467953605
2009,NaN,NaN,NaN,0.137374493253116,0.240171461681013,0.0115125898819552,0.135776537706829,0.241383310980632,0.0113590337262986,0.916995152696304,0.0278542015957251
2010,NaN,NaN,NaN,0.134210089004163,0.242838921090578,0.0101817126703566,0.134706292316354,0.244280543812225,0.0110636325007891,0.919629335906608,0.0275754030646232
2011,NaN,NaN,NaN,0.134889400194771,0.245661009285485,0.00921045348353428,0.133595298731292,0.247708603121141,0.0107986136641905,0.922642094659782,0.0272729088965593
2012,NaN,NaN,NaN,0.133665209379321,0.247812689503979,0.00778211346929697,0.13242033622306,0.251709165138466,0.0105763048598922,0.925972352655133,0.0269446150835708
2013,NaN,NaN,NaN,0.132263117181209,0.253946386809667,0.00833461383232664,0.13116815893799,0.256301130887042,0.0103921503105032,0.929503900405324,0.0265950091831783
2014,NaN,NaN,NaN,0.132109063560864,0.259623550082714,0.0114847646537449,0.129837925992671,0.26146975115326,0.0102166405985296,0.933047360347291,0.0262299062682046
2015,NaN,NaN,NaN,0.130107531929162,0.267489636595265,0.0116876344982303,0.128442089169847,0.267174752055138,0.0100038417050494,0.936427731706395,0.0258566627040308
2016,NaN,NaN,NaN,0.127681193645271,0.276191377511716,0.0114123021845937,0.127013041247674,0.273359993273285,0.0097157299689455,0.939519483863646,0.0254933943230938
